recipe,ingredients,cuisines,diets,dishTypes
Red Lentil Soup with Chicken and Turnips,additional toppings: avocado|canned tomatoes|carrots|celery stalks|chicken breast|flat leaf parsley|garlic|lentils|olive oil|onion|salt and pepper|turnip|vegetable stock,,gluten free|dairy free,lunch|soup|main course|main dish|dinner
Asparagus and Pea Soup: Real Convenience Food,asparagus|evoo|garlic|onion|peas|vegetable broth,,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|vegan,antipasti|soup|starter|snack|appetizer|antipasto|hor d'oeuvre
Garlicky Kale,balsamic vinegar|curly kale|garlic|olive oil,,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|whole 30|vegan,side dish
Slow Cooker Beef Stew,beef broth|carrots|celery|cream of mushroom soup|dale's seasoning|green onions|new potatoes|onion|stew meat|water,,gluten free|dairy free,lunch|soup|main course|main dish|dinner
Red Kidney Bean Jambalaya,bell pepper|brown rice|carrots|celery|celery seed|eggplant|garlic|green beans|ground pepper|ground sage|kidney beans|liquid smoke|marjoram|olive oil|onion|sea salt|sriracha|thyme|tomatoes|vegetable stock,cajun|creole,gluten free|dairy free|lacto ovo vegetarian|vegan,lunch|main course|main dish|dinner
"Cauliflower, Brown Rice, and Vegetable Fried Rice",additional scallion tops|broccoli|brown rice|cauliflower|coconut oil|garlic|grapeseed oil|peas|salt|scallions|sesame oil|sesame seeds|soy sauce,chinese|asian,gluten free|dairy free|lacto ovo vegetarian|vegan,side dish|antipasti|starter|snack|appetizer|antipasto|hor d'oeuvre
Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries,cashews|dried cherries|dried chickpeas|dried thyme|ground cumin|honey|juice of orange|olive oil|quinoa|red wine vinegar|sea-salt|sun-dried tomatoes|turmeric,,gluten free|dairy free|lacto ovo vegetarian,lunch|main course|main dish|dinner
Easy Homemade Rice and Beans,black beans|canned tomatoes|chili powder|cumin|ground pepper|olive oil|onion|optional: of hot sauce|rice|water,,gluten free|dairy free|lacto ovo vegetarian|vegan,side dish|lunch|main course|main dish|dinner
Tuscan White Bean Soup with Olive Oil and Rosemary,bay leaf|beans|garlic|olive oil|onion|rosemary|salt|water,,gluten free|dairy free|lacto ovo vegetarian|vegan,lunch|soup|main course|main dish|dinner
Crunchy Brussels Sprouts Side Dish,brussels sprouts|dijon mustard|honey|olive oil|pepper|red wine vinegar|walnuts,,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal,side dish
Slow Cooker: Pork and Garbanzo Beans,cinnamon|cumin|garbanzo beans *1|ground pepper|onion|pork should roast|salt|water *2,,gluten free|dairy free,lunch|main course|main dish|dinner
Powerhouse Almond Matcha Superfood Smoothie,almond milk|baby kale|banana|chia seeds|mango pieces|matcha tea powder|natural almond butter|pineapple|vanilla extract,,gluten free|dairy free,morning meal|brunch|beverage|breakfast|drink
Broccolini Quinoa Pilaf,broccolini|garlic clove|olive oil|onion|quinoa|vegetable broth|walnuts,mediterranean|italian|european,gluten free|dairy free|lacto ovo vegetarian|vegan,side dish|lunch|main course|main dish|dinner
Easy To Make Spring Rolls,bell pepper|boston lettuce|chili pepper|coriander leaves|fish sauce|garlic|lime juice|mint leaves|nuoc cham|rice vinegar|shrimp|spring roll wrappers|sugar|water|you can use regular basil,vietnamese|asian,gluten free|dairy free|pescatarian,fingerfood|antipasti|starter|snack|appetizer|antipasto|hor d'oeuvre
Farro With Mushrooms and Asparagus,asparagus|chicken stock|farro|garlic|olive oil|onion|porcini mushrooms|salt and pepper|sherry vinegar|thyme,,dairy free|lacto ovo vegetarian,side dish
Butternut Squash Frittata,bell pepper|butternut squash|goat cheese|liquid egg substitute|non-fat milk,,gluten free,lunch|main course|morning meal|brunch|main dish|breakfast|dinner
Herbivoracious' White Bean and Kale Soup,bay leaves|carrot|dinosaur kale|garlic|juice of lemon|kosher salt|navy|olive oil|onion|rosemary leaves|the following: parmesan rind)|water,,gluten free|dairy free|lacto ovo vegetarian|vegan,lunch|soup|main course|main dish|dinner
Tomato and lentil soup,bay leaf|carrots|garlic|lentils|olive oil|onion|parsley|salt|tomatoes|water,,gluten free|dairy free|lacto ovo vegetarian|vegan,lunch|soup|main course|main dish|dinner
Swiss Chard Wraps,avocado|basil|bell pepper|garlic|olive oil|orange cauliflower|salt|swiss chard leaves|trader joe's spicy peanut vinaigrette|zucchini,,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|vegan,side dish
Corn Avocado Salsa,avocado|balsamic vinegar|bell pepper|corn|cumin|garlic,mexican,gluten free|dairy free|lacto ovo vegetarian|vegan,antipasti|condiment|starter|snack|appetizer|dip|antipasto|hor d'oeuvre|spread
Cheesy Chicken Enchilada Quinoa Casserole,avocado|black beans|canned tomatoes|cheese|chicken breast|chili powder|cilantro|corn|cumin|green onion tops|pepper|quinoa|roma tomato|salt|verde enchilada sauce,mexican,gluten free,side dish|lunch|main course|main dish|dinner
Zesty Green Pea and Jalapeño Pesto Pasta,fresh basil leaves|fresh mint leaves|garlic|ground|jalapeno|juice of lemon|olive oil|peas|red onion|rotini pasta|sea salt|sun-dried tomatoes,,dairy free,side dish
